id;id_documento;d_oa_data;num_item;codice_commessa_convenzione;codice_cup;codice_cig
1;bandwidth Jordanian ;Movies dep;Intelligent;Sports;Metrics budgeta;SQL
2;Grocery Program gree;Alabama ex;hard drive;Jewelery virtual customer loyalty;Cordoba Oro;mesh Supervisor
3;Gorgeous Granite Fis;Direct syn;Practical;hacking digital;contingency;bypassing
4;Ergonomic violet Inc;Gorgeous;pricing structure;Refined Granite Cheese mindshare;Berkshire Tugri;Bike Hawaii
5;process improvement ;even-keele;Car backing up Maryl;Turkish Lira white;Engineer vision;Product attitud
6;Cotton;Synergized;Metal South Africa F;Tuna;Guernsey Handcr;Small Architect
7;Frozen Bacon world-c;Montana TH;calculate technologi;e-commerce moratorium;Cambridgeshire ;Group
8;solution-oriented Ru;Beauty com;Tunnel;Officer multimedia;1080p;Phased XML Ergo
9;zero administration;Codes spec;Plastic Chicken Inve;Auto Loan Account UAE Dirham Alabama;morph Soft;Multi-lateral
10;Integration migratio;white Hand;Fresh Australian Dol;matrix;Shoes Personal ;benchmark Burg
