id;id_documento;d_oa_data;num_item;codice_commessa_convenzione;codice_cup;codice_cig
1;Senior efficient;generating;Electronics Down-siz;Persevering optimizing;Auto Loan Accou;auxiliary Inves
2;Decentralized high-l;Gorgeous;Up-sized Program;mission-critical azure Seamless;Mississippi Hea;Soap Buckingham
3;matrix Accounts;repurpose ;Kwanza;green world-class Bedfordshire;European Unit o;Avon Generic St
4;Configuration Office;Shoes Fiel;Route;Frozen Savings Account upward-trending;Iceland Krona;digital streaml
5;Connecticut invoice ;Bolivar Fu;Markets robust acces;navigating Belize copy;action-items;Garden
6;multi-tasking Unbran;Cape Verde;Personal Loan Accoun;uniform encompassing;Branch Singapor;Investment Acco
7;encompassing;Incredible;compressing Incredib;connecting Metrics lavender;Via green;Gorgeous
8;pixel;Pants;Lock Global white;Center;Legacy invoice;Florida
9;secondary Soft Brand;Health fuc;interface SCSI;Legacy Product;open architectu;grid-enabled
10;microchip;seamless a;Fish;Bouvet Island (Bouvetoya) national;Paradigm Rubber;e-commerce Soap
